frame_index,time_seconds,x1,y1,x2,y2,confidence,pitch_deg,yaw_deg,roll_deg
0,0.0,1639.985,235.111,1805.878,397.85,0.8771,-16.983,-101.362,10.54
0,0.0,1636.106,114.359,1668.213,146.432,0.8216,23.516,-55.861,-12.307
1,0.033,1644.945,231.054,1818.615,400.857,0.898,1.758,-106.078,-7.335
1,0.033,1635.457,114.721,1667.794,147.046,0.823,22.568,-72.521,-8.78
2,0.067,1668.213,228.55,1839.062,395.438,0.9022,3.186,-107.295,-9.521
2,0.067,1634.283,115.763,1666.18,147.426,0.8394,8.025,82.639,9.146
3,0.1,1690.706,225.449,1860.492,390.606,0.8992,5.858,-105.356,-16.147
3,0.1,1633.622,116.66,1665.938,148.751,0.7802,19.653,-30.593,-13.457
4,0.133,1709.038,223.06,1879.729,388.086,0.8974,28.946,-106.71,-36.911
4,0.133,1631.882,117.826,1664.329,150.235,0.8214,24.112,-35.663,-23.069
5,0.167,1726.138,221.362,1897.023,387.05,0.8994,26.009,-105.287,-31.838
5,0.167,1631.365,118.955,1663.843,151.313,0.8094,28.315,-39.738,-19.646
6,0.2,1744.683,222.28,1913.527,385.119,0.8983,33.411,-109.173,-37.436
6,0.2,1631.041,120.008,1662.078,150.687,0.824,24.455,-41.268,-16.337
7,0.234,1762.532,218.786,1917.455,384.666,0.9084,35.338,-109.338,-37.673
7,0.234,1629.332,119.815,1660.665,150.675,0.8193,26.937,-31.149,-19.391
8,0.267,1796.301,220.338,1920.0,387.025,0.884,38.038,-108.595,-34.561
8,0.267,1627.199,119.058,1658.134,149.579,0.4635,6.41,-53.982,-4.584
9,0.3,1812.607,220.954,1919.981,392.132,0.8506,8.099,-111.413,-13.586
10,0.334,1820.929,222.883,1919.63,386.769,0.7872,-8.039,-121.813,-1.899
10,0.334,1625.337,116.361,1657.478,148.193,0.504,20.252,-7.363,-4.311
11,0.367,1829.072,224.413,1920.0,390.047,0.809,-6.163,-121.061,-1.415
11,0.367,1624.897,115.597,1656.823,147.186,0.743,15.946,38.19,5.57
12,0.4,1624.349,114.618,1656.5,146.563,0.8219,18.942,33.499,2.208
12,0.4,1848.854,229.401,1920.0,388.871,0.8112,7.452,-106.919,-12.541
13,0.434,1623.913,114.035,1655.867,145.808,0.8109,16.003,2.375,-4.686
13,0.434,1862.711,232.356,1919.942,402.286,0.7011,4.838,-98.517,-6.424
14,0.467,1623.333,113.222,1655.697,145.487,0.84,18.748,-15.884,-9.055
15,0.5,1622.944,113.283,1655.335,145.544,0.8531,16.313,-9.895,-4.942
16,0.534,1622.084,113.889,1654.202,145.804,0.86,11.729,-29.101,-0.306
17,0.567,1621.845,114.743,1653.65,146.331,0.8554,11.051,-35.863,-3.44
18,0.601,1621.439,115.524,1653.112,147.025,0.8611,10.474,-24.519,-6.904
19,0.634,1620.986,116.492,1652.664,148.009,0.8584,8.926,-26.349,-6.507
20,0.667,1620.749,117.549,1652.275,148.817,0.8546,5.118,-92.201,2.549
21,0.701,1620.493,118.493,1651.575,149.272,0.8419,8.099,-60.224,0.397
22,0.734,1619.76,118.256,1650.823,148.889,0.8455,5.824,-102.3,3.401
23,0.767,1619.484,118.512,1650.817,149.293,0.8348,8.025,-111.2,2.339
24,0.801,1618.288,117.018,1650.063,148.075,0.7948,8.1,-112.049,0.682
25,0.834,1617.65,115.922,1649.832,147.305,0.773,4.291,-138.749,5.657
26,0.868,1615.47,114.389,1648.378,146.358,0.7693,9.646,-82.674,1.483
27,0.901,1614.855,114.301,1647.877,146.428,0.7376,12.396,-45.182,-3.394
28,0.934,1612.858,113.638,1645.778,146.01,0.7946,14.285,1.93,9.766
29,0.968,1612.242,113.752,1645.26,146.267,0.7839,17.131,-23.929,6.193
30,1.001,1611.344,114.061,1644.449,146.8,0.796,15.927,-30.083,7.651
31,1.034,1609.627,115.138,1643.222,148.15,0.8198,17.452,96.763,9.027
32,1.068,1609.152,115.538,1642.834,148.685,0.7905,16.963,38.931,7.686
33,1.101,1608.093,117.667,1641.421,150.309,0.4322,16.798,-4.021,-4.279
34,1.134,1607.703,119.623,1640.21,151.575,0.5386,15.736,-12.58,-2.379
35,1.168,1605.553,120.053,1638.264,152.058,0.4163,17.971,-7.535,-3.568
36,1.201,1604.643,120.098,1638.052,152.751,0.5707,21.729,8.969,-8.454
37,1.235,1603.378,119.638,1637.136,152.54,0.4179,24.12,-11.148,-15.326
42,1.401,1601.477,114.533,1634.669,147.174,0.4717,21.765,-13.118,-14.002
43,1.435,1600.332,113.841,1634.991,147.787,0.7,11.814,-61.047,-5.335
44,1.468,1600.008,113.984,1634.696,148.004,0.6427,13.318,-42.751,-6.323
45,1.501,1598.398,114.973,1633.661,149.886,0.4846,11.462,-18.457,-8.666
46,1.535,1598.447,115.825,1633.481,150.529,0.6423,11.59,-16.844,-9.598
47,1.568,1597.155,117.791,1632.958,153.062,0.7421,22.4,-18.204,-16.311
48,1.602,1597.219,118.414,1632.894,153.523,0.7795,23.491,-17.376,-16.736
49,1.635,1596.968,118.847,1632.859,154.191,0.7069,23.215,-16.517,-16.235
50,1.668,1596.405,119.493,1631.851,154.455,0.6326,17.927,-9.444,-12.456
51,1.702,1594.667,118.994,1630.217,154.192,0.6234,1.223,-59.599,2.915
52,1.735,1594.461,118.243,1629.652,153.126,0.7898,13.333,-15.561,-11.403
53,1.768,1593.994,117.465,1628.883,151.753,0.7925,2.7,-128.239,6.692
54,1.802,1593.9,116.932,1628.263,150.706,0.8107,1.897,-137.636,8.442
55,1.835,1592.992,116.15,1628.371,150.889,0.8222,5.069,-137.596,8.12
56,1.869,1591.733,115.419,1626.868,149.555,0.7485,11.919,-100.987,6.033
57,1.902,1588.01,114.873,1624.573,150.782,0.6227,9.583,-108.844,12.364
58,1.935,1587.459,114.279,1623.873,150.241,0.7306,14.176,-117.168,7.881
61,2.035,1584.516,118.042,1620.112,153.248,0.5163,26.068,-12.598,-17.89
62,2.069,1583.669,118.694,1619.474,154.287,0.4882,17.812,-8.865,-11.104
63,2.102,1582.793,119.605,1617.201,153.741,0.6422,10.902,-32.38,-0.204
64,2.135,1580.771,121.111,1615.607,154.858,0.6856,18.344,-24.535,-13.562
65,2.169,1577.465,120.982,1611.824,154.956,0.6623,10.031,38.849,-1.647
66,2.202,1575.345,120.774,1610.395,155.481,0.4563,10.186,-6.123,-9.694
67,2.236,1574.407,120.251,1609.205,154.717,0.3951,5.738,5.054,-3.89
68,2.269,1573.216,119.149,1608.46,154.205,0.598,18.969,1.294,-12.694
69,2.302,0.0,330.211,74.632,549.452,0.5321,-11.769,-30.621,7.6
70,2.336,0.0,327.728,96.8,538.133,0.5604,-32.075,-120.324,28.182
71,2.369,0.0,329.034,118.532,526.664,0.8464,-27.626,-129.754,18.915
72,2.402,0.0,325.524,141.756,527.33,0.8902,-36.605,-144.084,21.562
